BLUE	red:	green:	spectrum_k	spectrum_power
"0.01195201994869488, -0.0007265796299746607"	"0.044024706573610684, 0.009322288940798812"	"0.023746399346507907, -0.00864873385975723"	0.6358052354380777	137.59855127211685
"0.1551756259046415, -0.010901560641453728"	"0.14362487281273706, 0.009250634144943343"	"0.11140887659611032, -0.007992375929720963"	0.9204260882470631	104.66512108254246
"0.21886240846099803, -0.013825076312357604"	"0.22336232964072245, 0.012070966909815295"	"0.2189340632568535, -0.010228005560412173"	1.2186319947271271	83.32821508477356
"0.32645924991759667, -0.012463635191103356"	"0.29914444173748533, 0.016332994167299608"	"0.33042892560799064, -0.013185915533326653"	1.4293041468680674	55.280792119664746
"0.3782799982802847, -0.01106206738417001"	"0.382908898092549, 0.021308703191504574"	"0.43381246506828686, -0.023332234626463555"	1.7307213328305975	38.384723436228064
"0.4857765230226856, -0.014736525315639376"	"0.45079465168603705, 0.02917353358460284"	"0.5532896716777249, -0.02557646283265741"	2.3357214690901227	21.21937916848947
"0.6052680605912952, -0.01626133937144414"	"0.5783975121454876, 0.034837128649020443"	"0.6845469267258055, -0.036462259419022924"	2.7220935537564555	14.077153669117273
"0.6970435231230023, -0.009133120279740337"	"0.678126657017154, 0.04124020120666674"	"0.7439487524900039, -0.05449060605626338"	3.132166752999772	8.524974121288688
"0.765000931512346, 0.0023287808653033037"	"0.801817165622895, 0.050503733214864066"	"0.8432049757090239, -0.07182820046145688"	3.8169586180261006	3.4249439246820024
"0.844838705054529, 0.010185012682898842"	"0.905487324266613, 0.054745697129508886"	"0.9503145645538054, -0.09492684045343158"	4.563307957659596	1.6512840354510403
"0.9046847905530315, 0.01445850470772006"	"1.0211381647773683, 0.06041789076942919"	"1.0455867811232604, -0.11226156866679088"	5.085939516781295	1.3146552533350764
"0.9526075180211808, 0.020179423608822133"	"1.1288209919889938, 0.06609581679301796"	"1.160707376144685, -0.1332076985912668"	5.632387432434568	0.7961411998850858
"1.0086702302985135, 0.03452757993092473"	"1.2484988320268275, 0.0739233866922713"	"1.2718153025982029, -0.15558979062468659"	6.197888618396713	0.7961411998850898
"1.1244500494418093, 0.04667450092434686"	"1.3243669298786165, 0.08250189885209014"	"1.3671448430043422, -0.17004686223648957"	6.951927961775607	0.46064497358040885
"1.1843677897361669, 0.054545063701113505"	"1.4322217286002952, 0.09681279468034795"	"1.526347468436062, -0.17807506556413827"	7.649913239647055	0.2546481902546696
"1.2642055632783502, 0.06240129551870904"	"1.5439888791756833, 0.10752375356482607"	"1.6378136688688574, -0.18247180383783096"	8.153749046051328	0.2027359157379193
"1.4037174508089827, 0.06589804955645681"	"1.6477163616560857, 0.11464337408102723"	"1.7453245245704292, -0.1854268476189112"	9.029811208464622	0.19369959509054988
"1.563135040628269, 0.06866105848464435"	"1.7754482007480765, 0.12678169649894666"	"1.904727783430545, -0.18338325284111268"	10.128384179630299	0.140771536691173
"1.6427005259462015, 0.06284842144484729"	"1.942905458662348, 0.13313604379541122"	"1.9885782255406352, -0.17409105891457327"	10.864533423911135	0.08922674486302225
"1.7581077401510485, 0.056290574528153114"	"2.0705083191217986, 0.13879963885982888"	"2.1124407056564296, -0.15619455710170688"	11.803808651928229	0.051626334042284394
"1.825663881683601, 0.047608879462302384"	"2.1662104644663867, 0.1430473351581421"	"2.2163258286877143, -0.14116138093122577"	12.742749857031335	0.06195540608875728
"1.8892073546482469, 0.037491222287507675"	"2.2977113458203755, 0.14439157912839104"	"2.29620659510741, -0.13114690666246298"	14.022143407814719	0.031264357272238225
"1.9727138537382307, 0.029517476604709075"	"2.41726020722567, 0.14574442167414262"	"2.4160277447369554, -0.1161251952593188"	15.429990226232713	0.017283184351215262
"2.036214333825363, 0.017241576978747147"	"2.516889035383138, 0.1471115951790653"	"2.503876524455782, -0.10611645337422443"	16.871232655038195	0.011465841675756172
"2.1157224953066107, 0.008551283337393717"	"2.6763066252024252, 0.14987460410725287"	"2.599650324596225, -0.09827168632396577"	18.329807108324346	0.007267518376864192
"2.1712692930537845, -0.0029994697545107085"	"2.8038091689476774, 0.15050230011894694"	"2.6874274495191965, -0.09186001519081682"	19.66205057493218	0.0038384723436228102
"2.258645151119964, -0.016731394832256163"	"2.9432207397641124, 0.14896315510397107"	"2.7671362444288397, -0.09047851072672297"	20.82377951643938	0.0019369959509055088
"2.341994009659066, -0.032618696169334715"		"2.834864357471446, -0.09052723598790469"	21.91392755602832	0.0013449708483130262
"2.449375886728099, -0.04204846730391676"		"2.9384485303601373, -0.09060175697559442"	23.506671366244277	0.0007103708771708738
"2.5368377305493057, -0.051463907479327664"			23.960803912555264	0.0004712673222244826
"2.6003668725547806, -0.06230097880451141"			26.032295497173738	0.0002074109511842093
"2.767623497040657, -0.06601842961349413"			27.570409285340475	0.00006943591429214297
"2.6959400392668282, -0.06452800985970003"			28.64598181644131	0.00002789616829636368
"2.8353659410424346, -0.06534774072428673"			30.3385248198897	0.00001285022970787306
"2.918944094928274, -0.06972441565513987"			32.54358356595048	0.000003926986478874705
			35.357085138611396	0.000001507362899294123
			37.20806790660541	4.6064497358040134e-7
			39.40650032238704	2.665278366645538e-7
